dataset,model,roc_auc,pr_auc,delta,miscalibrated,tau_star,tau_bayes,tau_gap,precision_1,recall_1,f1_1,tp,fp,fn,tn,expected_cost,cfn,cfp,seed
creditcard,LR,0.9819593228681421,0.741492154149806,0.20171023591601722,True,0.999,0.09090909090909091,0.9080909090909091,0.7215189873417721,0.76,0.7402597402597403,57,22,18,56865,202.0,10.0,1.0,7
creditcard,RF,0.9329379295796931,0.7907535994729628,0.18454679061838286,False,0.151,0.09090909090909091,0.060090909090909084,0.7435897435897436,0.7733333333333333,0.7581699346405228,58,20,17,56867,190.0,10.0,1.0,7
creditcard,XGB,0.9685641124802972,0.7977627375180817,0.18774409284137528,False,0.084,0.09090909090909091,0.006909090909090906,0.7532467532467533,0.7733333333333333,0.7631578947368421,58,19,17,56868,189.0,10.0,1.0,7
creditcard,LGBM,0.8849420781549386,0.02741265471733875,0.8675602987803163,True,1.0,0.09090909090909091,0.9090909090909091,0.033936651583710405,0.8,0.06511123168746609,60,1708,15,55179,1858.0,10.0,1.0,7
creditcard,DNN,0.9781686501309613,0.7982624980560049,0.16457790098876235,False,0.992,0.09090909090909091,0.901090909090909,0.8571428571428571,0.72,0.782608695652174,54,9,21,56878,219.0,10.0,1.0,7
ieee_cis,LR,0.8166529883254757,0.1742105700586541,0.41323231667477817,True,0.6890000000000001,0.09090909090909091,0.5980909090909091,0.197078870496592,0.49803149606299213,0.2824054695130459,2024,8246,2040,105798,28646.0,10.0,1.0,7
ieee_cis,RF,0.8652596142354367,0.4336335652963561,0.32935066058239904,True,0.107,0.09090909090909091,0.016090909090909086,0.22303074404220483,0.6033464566929134,0.32567406030017265,2452,8542,1612,105502,24662.0,10.0,1.0,7
ieee_cis,XGB,0.8748434801687262,0.47064020554099634,0.3514185872725072,True,0.504,0.09090909090909091,0.41309090909090906,0.25422306158850067,0.5962106299212598,0.35645457888929755,2423,7108,1641,106936,23518.0,10.0,1.0,7
ieee_cis,LGBM,0.8735960305122599,0.48153381545342644,0.34243415373853825,True,0.559,0.09090909090909091,0.4680909090909091,0.2679505733051319,0.5922736220472441,0.36897371043151683,2407,6576,1657,107468,23146.0,10.0,1.0,7
ieee_cis,DNN,0.8350584166368166,0.25402096930054613,0.3898742615181696,True,0.653,0.09090909090909091,0.5620909090909091,0.21079377985567638,0.5103346456692913,0.2983528734805438,2074,7765,1990,106279,27665.0,10.0,1.0,7
baf,LR,0.8615780063760005,0.135352200497797,0.7479980249867021,True,0.867,0.09090909090909091,0.776090909090909,0.2040319777546055,0.20837770678026268,0.2061819459079733,587,2290,2230,194893,24590.0,10.0,1.0,7
baf,RF,0.8559879255724405,0.15402453969446062,0.7272966731009678,True,0.089,0.09090909090909091,0.0019090909090909158,0.13926596279537456,0.3933262335818246,0.2056994337696092,1108,6848,1709,190335,23938.0,10.0,1.0,7
baf,XGB,0.8728314651950825,0.15063832407385014,0.7345040728012393,True,0.809,0.09090909090909091,0.7180909090909091,0.20732410611303345,0.2552360667376642,0.22879872712808275,719,2749,2098,194434,23729.0,10.0,1.0,7
baf,LGBM,0.8763805254157813,0.15703596621585433,0.7355809020039807,True,0.878,0.09090909090909091,0.7870909090909091,0.25034835113794707,0.19133830315938943,0.21690140845070421,539,1614,2278,195569,24394.0,10.0,1.0,7
baf,DNN,0.8744565213096035,0.1626760398734186,0.7359676049320241,True,0.789,0.09090909090909091,0.6980909090909091,0.19049704401138604,0.308839190628328,0.23564463705308775,870,3697,1947,193486,23167.0,10.0,1.0,7
paysim,LR,0.8230738397353905,0.07530617103252055,0.8009967979695412,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,15,4254,1268255,42555.0,10.0,1.0,7
paysim,RF,0.6278095125630617,0.15878913348115078,0.6060416034806183,True,0.981,0.09090909090909091,0.890090909090909,0.8726003490401396,0.11753643629525153,0.20716801325875284,500,73,3754,1268197,37613.0,10.0,1.0,7
paysim,XGB,0.9150453931950268,0.23030231247549218,0.7385042720226309,True,0.994,0.09090909090909091,0.903090909090909,0.9321428571428572,0.18406205923836388,0.30742049469964666,783,57,3471,1268213,34767.0,10.0,1.0,7
paysim,LGBM,0.6612760778911471,0.0063718754990657826,0.6454753512420719,True,1.0,0.09090909090909091,0.9090909090909091,0.009422514421291894,0.4891866478608369,0.01848890310428772,2081,218773,2173,1049497,240503.0,10.0,1.0,7
paysim,DNN,0.9226508433136204,0.2466694787074498,0.9015440328555694,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,0,4254,1268270,42540.0,10.0,1.0,7
elliptic,LR,0.841863,0.17469,0.4025,True,0.673,0.0909,0.5821,0.1174,0.8834,0.2072,394,2963,52,5904,3483.0,10.0,1.0,7
elliptic,RF,0.844982,0.578065,0.033,False,0.346,0.0909,0.2551,0.6084,0.5224,0.5621,233,150,213,8717,2280.0,10.0,1.0,7
elliptic,XGB,0.841468,0.585818,0.0286,False,0.268,0.0909,0.1771,0.6005,0.5291,0.5626,236,157,210,8710,2257.0,10.0,1.0,7
elliptic,LGBM,0.873819,0.595493,0.0288,False,0.105,0.0909,0.0141,0.6071,0.5336,0.568,238,154,208,8713,2234.0,10.0,1.0,7
elliptic,CatBoost,0.876062,0.599435,0.0276,False,0.425,0.0909,0.3341,0.6555,0.5247,0.5828,234,123,212,8744,2243.0,10.0,1.0,7
giveme,LR,0.824977,0.353789,0.4509,True,0.506,0.0909,0.4151,0.2535,0.6316,0.3618,1291,3801,753,24155,11331.0,10.0,1.0,7
giveme,RF,0.85019,0.371735,0.4699,True,0.108,0.0909,0.0171,0.2551,0.6786,0.3708,1387,4050,657,23906,10620.0,10.0,1.0,7
giveme,XGB,0.857591,0.384041,0.4611,True,0.535,0.0909,0.4441,0.2675,0.6771,0.3835,1384,3790,660,24166,10390.0,10.0,1.0,7
giveme,LGBM,0.863312,0.40384,0.4577,True,0.571,0.0909,0.4801,0.2722,0.6742,0.3878,1378,3685,666,24271,10345.0,10.0,1.0,7
giveme,CatBoost,0.866144,0.407432,0.4567,True,0.599,0.0909,0.5081,0.2877,0.6654,0.4017,1360,3367,684,24589,10207.0,10.0,1.0,7
creditcard,LR,0.9819593228681421,0.741492154149806,0.20171023591601722,True,0.999,0.09090909090909091,0.9080909090909091,0.7215189873417721,0.76,0.7402597402597403,57,22,18,56865,202.0,10.0,1.0,21
creditcard,RF,0.9456120613379742,0.7928296947643111,0.18933361136056648,False,0.183,0.09090909090909091,0.09209090909090908,0.7671232876712328,0.7466666666666667,0.7567567567567568,56,17,19,56870,207.0,10.0,1.0,21
creditcard,XGB,0.9650856376090612,0.7893521314088061,0.1837034996598591,False,0.802,0.09090909090909091,0.7110909090909091,0.890625,0.76,0.8201438848920863,57,7,18,56880,187.0,10.0,1.0,21
creditcard,LGBM,0.8849420781549386,0.02741265471733875,0.8675602987803163,True,1.0,0.09090909090909091,0.9090909090909091,0.033936651583710405,0.8,0.06511123168746609,60,1708,15,55179,1858.0,10.0,1.0,21
creditcard,DNN,0.9635244138965552,0.7950963572219198,0.14681709806708676,False,0.99,0.09090909090909091,0.899090909090909,0.873015873015873,0.7333333333333333,0.7971014492753623,55,8,20,56879,208.0,10.0,1.0,21
ieee_cis,LR,0.8166529883254757,0.1742105700586541,0.41323231667477817,True,0.6890000000000001,0.09090909090909091,0.5980909090909091,0.197078870496592,0.49803149606299213,0.2824054695130459,2024,8246,2040,105798,28646.0,10.0,1.0,21
ieee_cis,RF,0.866563785420436,0.4323683750213666,0.3276855985850744,True,0.115,0.09090909090909091,0.024090909090909093,0.23842453397474445,0.5853838582677166,0.3388406209941604,2379,7599,1685,106445,24449.0,10.0,1.0,21
ieee_cis,XGB,0.8762836662952579,0.4804576947888012,0.3470431694709012,True,0.521,0.09090909090909091,0.4300909090909091,0.26853685368536856,0.6006397637795275,0.371141857989965,2441,6649,1623,107395,22879.0,10.0,1.0,21
ieee_cis,LGBM,0.8770672428510118,0.48003476115817006,0.3429930566688717,True,0.582,0.09090909090909091,0.491090909090909,0.2843257874015748,0.5686515748031497,0.3791010498687664,2311,5817,1753,108227,23347.0,10.0,1.0,21
ieee_cis,DNN,0.8199309474454811,0.3833856565892257,0.37134201732335737,True,0.554,0.09090909090909091,0.4630909090909091,0.24168562452605352,0.5489665354330708,0.3356148928168484,2231,7000,1833,107044,25330.0,10.0,1.0,21
baf,LR,0.8615780063760005,0.135352200497797,0.7479980249867021,True,0.867,0.09090909090909091,0.776090909090909,0.2040319777546055,0.20837770678026268,0.2061819459079733,587,2290,2230,194893,24590.0,10.0,1.0,21
baf,RF,0.8588768464093649,0.15406736559454945,0.7276844524012479,True,0.093,0.09090909090909091,0.0020909090909090877,0.1458596048759983,0.369542066027689,0.20916214587100662,1041,6096,1776,191087,23856.0,10.0,1.0,21
baf,XGB,0.873563644284738,0.15395089665127099,0.7350305681019265,True,0.834,0.09090909090909091,0.743090909090909,0.22097994080894443,0.23855165069222578,0.2294298395356777,672,2369,2145,194814,23819.0,10.0,1.0,21
baf,LGBM,0.8759792774591858,0.15503956844533828,0.735016674840799,True,0.855,0.09090909090909091,0.764090909090909,0.21700978737765778,0.22825701100461485,0.22249134948096885,643,2320,2174,194863,24060.0,10.0,1.0,21
baf,DNN,0.8765980577650261,0.1646494226927765,0.7328536257152806,True,0.84,0.09090909090909091,0.749090909090909,0.2299342105263158,0.24813631522896698,0.23868874850606112,699,2341,2118,194842,23521.0,10.0,1.0,21
paysim,LR,0.8230738397353905,0.07530617103252055,0.8009967979695412,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,15,4254,1268255,42555.0,10.0,1.0,21
paysim,RF,0.6287380808070687,0.15916602060345444,0.6054022996447117,True,0.983,0.09090909090909091,0.892090909090909,0.8734622144112478,0.11683121767748002,0.20609579100145137,497,72,3757,1268198,37642.0,10.0,1.0,21
paysim,XGB,0.9153223713051599,0.22912206982919722,0.7400999366669595,True,0.993,0.09090909090909091,0.902090909090909,0.9011494252873563,0.1842971321109544,0.30601092896174864,784,86,3470,1268184,34786.0,10.0,1.0,21
paysim,LGBM,0.651387080359187,0.005288109924135743,0.641997843682783,True,1.0,0.09090909090909091,0.9090909090909091,0.006292510405702531,0.6478608368594264,0.012463961468450033,2756,435225,1498,833045,450205.0,10.0,1.0,21
paysim,DNN,0.9226152785953378,0.23327619168581276,0.9031251478914314,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,0,4254,1268270,42540.0,10.0,1.0,21
elliptic,LR,0.841863,0.17469,0.4025,True,0.673,0.0909,0.5821,0.1174,0.8834,0.2072,394,2963,52,5904,3483.0,10.0,1.0,21
elliptic,RF,0.840441,0.576058,0.0338,False,0.363,0.0909,0.2721,0.6427,0.5202,0.575,232,129,214,8738,2269.0,10.0,1.0,21
elliptic,XGB,0.848493,0.588309,0.0295,False,0.185,0.0909,0.0941,0.5308,0.5404,0.5356,241,213,205,8654,2263.0,10.0,1.0,21
elliptic,LGBM,0.873819,0.595493,0.0288,False,0.105,0.0909,0.0141,0.6071,0.5336,0.568,238,154,208,8713,2234.0,10.0,1.0,21
elliptic,CatBoost,0.884359,0.601589,0.0289,False,0.307,0.0909,0.2161,0.576,0.5269,0.5504,235,173,211,8694,2283.0,10.0,1.0,21
giveme,LR,0.824977,0.353789,0.4509,True,0.506,0.0909,0.4151,0.2535,0.6316,0.3618,1291,3801,753,24155,11331.0,10.0,1.0,21
giveme,RF,0.851767,0.372058,0.4699,True,0.123,0.0909,0.0321,0.2729,0.6477,0.384,1324,3527,720,24429,10727.0,10.0,1.0,21
giveme,XGB,0.859202,0.385473,0.4575,True,0.552,0.0909,0.4611,0.2766,0.6654,0.3908,1360,3556,684,24400,10396.0,10.0,1.0,21
giveme,LGBM,0.863312,0.40384,0.4577,True,0.571,0.0909,0.4801,0.2722,0.6742,0.3878,1378,3685,666,24271,10345.0,10.0,1.0,21
giveme,CatBoost,0.866719,0.409132,0.4549,True,0.573,0.0909,0.4821,0.2735,0.684,0.3907,1398,3714,646,24242,10174.0,10.0,1.0,21
creditcard,LR,0.9819593228681421,0.741492154149806,0.20171023591601722,True,0.999,0.09090909090909091,0.9080909090909091,0.7215189873417721,0.76,0.7402597402597403,57,22,18,56865,202.0,10.0,1.0,42
creditcard,RF,0.939110400150005,0.7869973687393764,0.19651000824614728,False,0.139,0.09090909090909091,0.0480909090909091,0.725,0.7733333333333333,0.7483870967741936,58,22,17,56865,192.0,10.0,1.0,42
creditcard,XGB,0.9686831789336755,0.7877683350202732,0.19175101080797474,False,0.861,0.09090909090909091,0.770090909090909,0.8888888888888888,0.7466666666666667,0.8115942028985508,56,7,19,56880,197.0,10.0,1.0,42
creditcard,LGBM,0.8849420781549386,0.02741265471733875,0.8675602987803163,True,1.0,0.09090909090909091,0.9090909090909091,0.033936651583710405,0.8,0.06511123168746609,60,1708,15,55179,1858.0,10.0,1.0,42
creditcard,DNN,0.9724063494295709,0.8008306742412684,0.16553157208624603,False,0.997,0.09090909090909091,0.9060909090909091,0.7910447761194029,0.7066666666666667,0.7464788732394366,53,14,22,56873,234.0,10.0,1.0,42
ieee_cis,LR,0.8166529883254757,0.1742105700586541,0.41323231667477817,True,0.6890000000000001,0.09090909090909091,0.5980909090909091,0.197078870496592,0.49803149606299213,0.2824054695130459,2024,8246,2040,105798,28646.0,10.0,1.0,42
ieee_cis,RF,0.8663277790696615,0.4283321735494447,0.3295174747054186,True,0.117,0.09090909090909091,0.026090909090909095,0.23760977086908247,0.5792322834645669,0.3369837520578341,2354,7553,1710,106491,24653.0,10.0,1.0,42
ieee_cis,XGB,0.8780134938335031,0.478884945967863,0.35292453040775573,True,0.466,0.09090909090909091,0.37509090909090914,0.2354547937721934,0.6363188976377953,0.34372300126271016,2586,8397,1478,105647,23177.0,10.0,1.0,42
ieee_cis,LGBM,0.8768207504935932,0.4821533853537593,0.34402421486350654,True,0.5640000000000001,0.09090909090909091,0.4730909090909091,0.2662337662337662,0.5851377952755905,0.365958756540474,2378,6554,1686,107490,23414.0,10.0,1.0,42
ieee_cis,DNN,0.7984822998451765,0.22418820671677087,0.36342600108267054,True,0.593,0.09090909090909091,0.502090909090909,0.22295875420875422,0.5214074803149606,0.31235259433962265,2119,7385,1945,106659,26835.0,10.0,1.0,42
baf,LR,0.8615780063760005,0.135352200497797,0.7479980249867021,True,0.867,0.09090909090909091,0.776090909090909,0.2040319777546055,0.20837770678026268,0.2061819459079733,587,2290,2230,194893,24590.0,10.0,1.0,42
