dataset,model,roc_auc_mean,roc_ci_lo,roc_ci_hi,pr_auc_mean,pr_ci_lo,pr_ci_hi,cost_mean,cost_ci_lo,cost_ci_hi
D1,LR,0.9819593228681421,0.9666593620718671,0.9944743220323145,0.741492154149806,0.6273339085969868,0.8584367028962077,202.0,125.975,292.04999999999995
D1,RF,0.939110400150005,0.8955090336809247,0.9746745151498807,0.7869973687393764,0.6908694980744029,0.8719136149525796,192.0,119.0,284.025
D1,XGB,0.9686831789336755,0.9469478799276119,0.986522835796713,0.7877683350202732,0.6914166128286102,0.8721107842146744,197.0,117.0,294.025
D1,LGBM,0.8849420781549386,0.831753159824657,0.9277850751411001,0.02741265471733875,0.018954982509943062,0.036257879228067155,1858.0,1753.0,1967.0
D2,LR,0.8166529883254757,0.8089224647055517,0.8241897064147938,0.1742105700586541,0.16599585973602368,0.18321052511341557,28646.0,27702.85,29537.025
D2,RF,0.8663277790696615,0.8602094141487129,0.8729735173576225,0.4283321735494447,0.4140436505495502,0.4436098537479855,24653.0,23847.8,25455.05
D2,XGB,0.8780134938335031,0.8718937059814917,0.8841414126966268,0.478884945967863,0.4627289174552086,0.49395129542111926,23177.0,22416.85,23895.25
D2,LGBM,0.8768207504935932,0.8710860867504562,0.8825693753736572,0.4821533853537593,0.4659647674050554,0.4973977499132569,23414.0,22631.9,24195.125
D3,LR,0.8615780063760005,0.8546501327806296,0.8680429215962832,0.135352200497797,0.12468592665279417,0.14796290738580997,24590.0,23658.825,25518.45
D3,RF,0.8585625301991615,0.8513507091083137,0.8655566696630144,0.15485926337896533,0.1416653118684518,0.16807934013593182,24631.0,23836.875,25444.35
D3,XGB,0.8744978839881276,0.8676085263883017,0.8808137291028143,0.15650851232860508,0.1446550393785931,0.17014230540737166,23613.0,22689.85,24528.1
D3,LGBM,0.8739845181576325,0.8676885993765201,0.8801486156782092,0.14884878737911833,0.1371719801685287,0.16090476467625878,24436.0,23448.925,25388.075
D4,LR,0.8230738397353905,0.8144844309531681,0.8314377202413346,0.07530617103252055,0.06783741488164859,0.08378681229651994,42555.0,41329.65,43868.3
D4,RF,0.6278200119484271,0.621142088671263,0.6338922137577355,0.15984052163360904,0.14725307021445105,0.17193693574175742,37593.0,36402.55,38855.275
D4,XGB,0.9151571015100184,0.9116122497796604,0.9185883007185852,0.22978174754600478,0.21802183939622427,0.24157306065327333,34786.0,33666.8,35981.175
D4,LGBM,0.5906627509009095,0.5882955900821496,0.5928701094176545,0.00409960032967369,0.003978767411771348,0.004223445310248747,1012952.0,1012045.975,1013859.3
D5,LR,0.8418626326971423,0.8273466794755518,0.8556641762400387,0.17469016904703466,0.1542767873014339,0.19928126704549148,3483.0,3323.0,3651.0
D5,RF,0.8453750516476419,0.8257343090264383,0.8622368882096167,0.5782647853081897,0.5330689480671135,0.6207030855050676,2307.0,2036.925,2583.025
D5,XGB,0.8527469465307198,0.8336697885676969,0.8700444672872206,0.5902405283040068,0.5455018267043477,0.6330740535247182,2261.0,1996.0,2544.05
D5,LGBM,0.873819184450229,0.8570081776651017,0.8888057151643793,0.5954933935726189,0.5515431744680892,0.6372854892822876,2234.0,1970.975,2523.0
D5,CatBoost,0.885475747481087,0.8696471104334921,0.8994865809257906,0.6050061708898675,0.5625841493700023,0.6458567242456189,2221.0,1956.925,2512.0
D6,LR,0.8249772444341528,0.8145814244482755,0.8340135696856324,0.35378908668764963,0.33317870697513735,0.3767207673718269,11331.0,10819.95,11880.125
D6,RF,0.8506523320543689,0.8412249499868674,0.8587977968304942,0.3751452484848408,0.3533436748734116,0.3975306638365657,10714.0,10250.95,11235.65
D6,XGB,0.8574379987394225,0.8480020519117761,0.8658134589456353,0.38486818462539074,0.36247378469624725,0.4070171919722402,10501.0,10000.9,11045.05
D6,LGBM,0.8633118415183603,0.8543374516557093,0.871533051718073,0.40383988296475726,0.3815478063764474,0.4269767527261044,10345.0,9882.825,10893.125
D6,CatBoost,0.8660048138968168,0.8569390523638085,0.8739403848214281,0.40656834900388106,0.38369194657486533,0.42836028956344363,10247.0,9738.8,10786.05
