dataset,model,roc_auc,pr_auc,delta,expected_cost
baf,DNN,0.8747 ± 0.0011,0.1632 ± 0.0020,0.7341 ± 0.0019,23318.8000 ± 196.3675
baf,LGBM,0.8764 ± 0.0019,0.1550 ± 0.0035,0.7352 ± 0.0025,24083.8000 ± 331.5512
baf,LR,0.8616 ± 0.0000,0.1354 ± 0.0000,0.7480 ± 0.0000,24590.0000 ± 0.0000
baf,RF,0.8577 ± 0.0012,0.1544 ± 0.0008,0.7267 ± 0.0015,24023.2000 ± 354.3920
baf,XGB,0.8737 ± 0.0017,0.1541 ± 0.0021,0.7341 ± 0.0007,23891.2000 ± 248.1113
creditcard,DNN,0.9722 ± 0.0057,0.7960 ± 0.0036,0.1620 ± 0.0105,220.6000 ± 9.6592
creditcard,LGBM,0.8849 ± 0.0000,0.0274 ± 0.0000,0.8676 ± 0.0000,1858.0000 ± 0.0000
creditcard,LR,0.9820 ± 0.0000,0.7415 ± 0.0000,0.2017 ± 0.0000,202.0000 ± 0.0000
creditcard,RF,0.9421 ± 0.0060,0.7914 ± 0.0026,0.1863 ± 0.0082,195.6000 ± 7.0922
creditcard,XGB,0.9688 ± 0.0024,0.7935 ± 0.0049,0.1868 ± 0.0034,191.2000 ± 4.9193
elliptic,CatBoost,0.8794 ± 0.0052,0.6005 ± 0.0029,0.0287 ± 0.0006,2258.6000 ± 27.9159
elliptic,LGBM,0.8738 ± 0.0000,0.5955 ± 0.0000,0.0288 ± 0.0000,2234.0000 ± 0.0000
elliptic,LR,0.8419 ± 0.0000,0.1747 ± 0.0000,0.4025 ± 0.0000,3483.0000 ± 0.0000
elliptic,RF,0.8437 ± 0.0023,0.5775 ± 0.0009,0.0330 ± 0.0006,2267.6000 ± 28.3778
elliptic,XGB,0.8455 ± 0.0050,0.5870 ± 0.0023,0.0291 ± 0.0005,2261.0000 ± 11.5542
giveme,CatBoost,0.8663 ± 0.0004,0.4074 ± 0.0025,0.4549 ± 0.0015,10187.0000 ± 53.1836
giveme,LGBM,0.8633 ± 0.0000,0.4038 ± 0.0000,0.4577 ± 0.0000,10345.0000 ± 0.0000
giveme,LR,0.8250 ± 0.0000,0.3538 ± 0.0000,0.4509 ± 0.0000,11331.0000 ± 0.0000
giveme,RF,0.8510 ± 0.0007,0.3728 ± 0.0014,0.4695 ± 0.0011,10679.4000 ± 56.7212
giveme,XGB,0.8581 ± 0.0007,0.3853 ± 0.0010,0.4590 ± 0.0021,10433.0000 ± 57.2626
ieee_cis,DNN,0.8190 ± 0.0146,0.2938 ± 0.0907,0.3759 ± 0.0099,26495.2000 ± 1063.5430
ieee_cis,LGBM,0.8752 ± 0.0016,0.4809 ± 0.0023,0.3438 ± 0.0011,23244.4000 ± 149.1151
ieee_cis,LR,0.8167 ± 0.0000,0.1742 ± 0.0000,0.4132 ± 0.0000,28646.0000 ± 0.0000
ieee_cis,RF,0.8661 ± 0.0007,0.4308 ± 0.0022,0.3289 ± 0.0007,24613.0000 ± 95.1709
ieee_cis,XGB,0.8764 ± 0.0012,0.4760 ± 0.0039,0.3514 ± 0.0025,23129.2000 ± 242.6936
paysim,DNN,0.9225 ± 0.0002,0.2488 ± 0.0114,0.9006 ± 0.0019,42030.2000 ± 1139.9475
paysim,LGBM,0.6491 ± 0.0400,0.0056 ± 0.0014,0.6345 ± 0.0329,578101.8000 ± 333458.8935
paysim,LR,0.8231 ± 0.0000,0.0753 ± 0.0000,0.8010 ± 0.0000,42555.0000 ± 0.0000
paysim,RF,0.6282 ± 0.0004,0.1592 ± 0.0004,0.6064 ± 0.0018,37589.4000 ± 55.3290
paysim,XGB,0.9151 ± 0.0002,0.2297 ± 0.0005,0.7389 ± 0.0007,34774.6000 ± 10.4067
