dataset,model,delta,cost,tau_star,n_seeds,best_cost_ds,cost_ratio,case
baf,LGBM,0.73522375506154,24083.8,0.8597999999999999,5,23891.2,1.0080615456737207,regular
baf,LR,0.7479980249867021,24590.0,0.867,5,23891.2,1.0292492633270827,regular
baf,RF,0.7267108280364996,24023.2,0.0882,5,23891.2,1.0055250468791856,regular
baf,XGB,0.7340535277152493,23891.2,0.8298,5,23891.2,1.0,regular
creditcard,LGBM,0.8675602987803164,1858.0,1.0,5,191.2,9.717573221757323,costly
creditcard,LR,0.20171023591601717,202.0,0.999,5,191.2,1.0564853556485356,regular
creditcard,RF,0.18634497125881377,195.6,0.1478,5,191.2,1.0230125523012552,regular
creditcard,XGB,0.18678555590281065,191.2,0.5292,5,191.2,1.0,regular
elliptic,CatBoost,0.028720000000000002,2258.6,0.3594,5,2234.0,1.0110116383169203,regular
elliptic,LGBM,0.0288,2234.0,0.10500000000000001,5,2234.0,1.0,regular
elliptic,LR,0.4025,3483.0,0.673,5,2234.0,1.5590868397493285,regular
elliptic,RF,0.03296,2267.6,0.3592,5,2234.0,1.0150402864816472,regular
elliptic,XGB,0.02914,2261.0,0.231,5,2234.0,1.0120859444941808,regular
giveme,CatBoost,0.45494,10187.0,0.5778,5,10187.0,1.0,regular
giveme,LGBM,0.4577,10345.0,0.571,5,10187.0,1.0155099636791989,regular
giveme,LR,0.4509,11331.0,0.506,5,10187.0,1.1122999901835673,regular
giveme,RF,0.46952,10679.4,0.10880000000000001,5,10187.0,1.048336114655934,regular
giveme,XGB,0.45904,10433.0,0.5492000000000001,5,10187.0,1.0241484244625503,regular
ieee_cis,LGBM,0.34376711116323944,23244.4,0.5696000000000001,5,23129.2,1.0049807170157203,regular
ieee_cis,LR,0.4132323166747781,28646.0,0.6890000000000001,5,23129.2,1.2385210037528318,regular
ieee_cis,RF,0.32885088408836227,24613.0,0.11300000000000002,5,23129.2,1.0641526728118569,regular
ieee_cis,XGB,0.3513716883004968,23129.2,0.5088,5,23129.2,1.0,regular
paysim,LGBM,0.6345293489443484,578101.8,0.8001999999999999,5,34774.6,16.62425448459508,costly
paysim,LR,0.800996797969541,42555.0,1.0,5,34774.6,1.22373801567811,regular
paysim,RF,0.6064151143564469,37589.4,0.9773999999999999,5,34774.6,1.0809441373876336,regular
paysim,XGB,0.7388533894325124,34774.6,0.9928000000000001,5,34774.6,1.0,regular
