model,calibrator,grid,delta,n_val_unique,tau_star,val_cost,n_tied_val_optima,n_flagged_test,test_cost,test_cost_tied_min,test_cost_tied_max,test_cost_oracle
LR,none,uniform,0.202,55855,0.999,155.0,1,79,202.0,202.0,202.0,193.0
LR,none,unique,0.202,55855,0.999559,154.0,1,76,221.0,221.0,221.0,193.0
LR,none,quantile,0.202,55855,0.999917,165.0,1,65,254.0,254.0,254.0,193.0
RF,none,uniform,0.197,117,0.139,142.0,4,80,192.0,188.0,192.0,185.0
RF,none,unique,0.197,117,0.14,142.0,2,80,192.0,188.0,192.0,185.0
RF,none,quantile,0.197,117,0.17608,143.0,1,76,188.0,188.0,188.0,185.0
XGB,none,uniform,0.192,55089,0.861,143.0,46,63,197.0,197.0,197.0,187.0
XGB,none,unique,0.192,55089,0.906937,143.0,1,63,197.0,197.0,197.0,187.0
XGB,none,quantile,0.192,55089,0.182577,154.0,1,73,196.0,196.0,196.0,187.0
LGBM,none,uniform,0.868,21,1.0,2095.0,1,1768,1858.0,1858.0,1858.0,1858.0
LGBM,none,unique,0.868,21,1.0,2095.0,1,1768,1858.0,1858.0,1858.0,1858.0
LGBM,none,quantile,0.868,21,1.0,2095.0,1,1768,1858.0,1858.0,1858.0,1858.0
LGBM,temperature,uniform,0.868,3,0.965,570.0,36,0,750.0,750.0,750.0,1858.0
LGBM,temperature,unique,0.868,3,0.964931,2096.0,1,1768,1858.0,1858.0,1858.0,1858.0
LGBM,temperature,quantile,0.868,3,0.964931,2096.0,1,1768,1858.0,1858.0,1858.0,1858.0
